data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
1786838400000,202633,165.0,165,165.0,165,0.060223155,22.745476,0,3,354990420263320690,2026-08-25,São José dos Campos,,0.84881514,725419,0,0,0,0,0,0,0,0,0,72,,,,,235967
1786233600000,202632,214.0,214,214.0,214,0.9752025,29.500193,0,3,354990420263220690,2026-08-25,São José dos Campos,,1.2205424,725419,0,0,0,1,1,0,0,0,0,89,,,,,235967
1785628800000,202631,219.0,219,219.0,219,0.99405044,30.18945,0,1,354990420263120690,2026-08-25,São José dos Campos,,1.2917017,725419,14.0517166666667,63.4731833333333,0,1,1,60.1085833333333,55.2795833333333,15.0229833333333,16.1494833333333,72,,,,,235967
1785024000000,202630,151.0,151,151.0,151,0.017505258,20.815556,0,1,354990420263020690,2026-08-25,São José dos Campos,,0.7954424,725419,16.8700142857143,80.2401428571429,0,0,0,80.2401428571429,80.2401428571429,16.8700142857143,16.8700142857143,61,,,,,235967
1784419200000,202629,167.0,167,167.0,167,0.0003141755,23.021177,0,1,354990420262920690,2026-08-25,São José dos Campos,,0.7096006,725419,14.8533857142857,81.2807428571429,0,0,0,81.2807428571429,81.2807428571429,14.8533857142857,14.8533857142857,72,,,,,235967
1783814400000,202628,168.0,168,168.0,168,4.74e-08,23.159029,0,1,354990420262820690,2026-08-25,São José dos Campos,,0.59940064,725419,12.8766142857143,80.3373142857143,0,0,0,80.3373142857143,80.3373142857143,12.8766142857143,12.8766142857143,60,,,,,235967
1783209600000,202627,231.0,231,231.0,231,0.0008044244,31.843666,0,1,354990420262720690,2026-08-25,São José dos Campos,,0.7604353,725419,14.7829285714286,84.1995571428571,0,0,1,84.1995571428571,84.1995571428571,14.7829285714286,14.7829285714286,70,,,,,235967
1782604800000,202626,315.0,315,315.0,315,0.2794333,43.42318,0,1,354990420262620690,2026-08-25,São José dos Campos,,0.9550289,725419,16.2041,86.3729714285714,0,0,1,86.3729714285714,86.3729714285714,16.2041,16.2041,28,,,,,235967
1782000000000,202625,294.0,294,294.0,294,0.0011504516,40.5283,0,1,354990420262520690,2026-08-25,São José dos Campos,,0.7891317,725419,15.0740142857143,89.3888285714286,0,0,1,89.3888285714286,89.3888285714286,15.0740142857143,15.0740142857143,26,,,,,235967
1781395200000,202624,310.0,310,310.0,310,4.25045e-05,42.733925,0,1,354990420262420690,2026-08-25,São José dos Campos,,0.74589336,725419,14.5768857142857,89.1306428571429,0,0,1,89.1306428571429,89.1306428571429,14.5768857142857,14.5768857142857,20,,,,,235967
1780790400000,202623,387.0,387,387.0,387,0.027640821,53.34848,0,1,354990420262320690,2026-08-25,São José dos Campos,,0.87528515,725419,13.7639142857143,85.0530285714286,0,0,1,79.8889714285714,73.2009857142857,15.3471571428571,16.8201714285714,27,,,,,235967
1780185600000,202622,411.0,411,411.0,411,0.11813139,56.65691,0,1,354990420262220690,2026-08-25,São José dos Campos,,0.9222621,725419,13.0650571428571,98.1589285714286,0,0,1,84.4023714285714,60.0175285714286,15.6734571428571,19.8453428571429,40,,,,,235967
1779580800000,202621,479.0,479,479.0,479,0.832917,66.03081,0,1,354990420262120690,2026-08-25,São José dos Campos,,1.0654236,725419,14.5455571428571,96.9989714285714,0,0,1,86.4057142857143,68.2269571428571,17.5101285714286,21.5820285714286,50,,,,,235967
1778976000000,202620,432.0,432,432.0,432,0.12913191,59.55179,0,1,354990420262020690,2026-08-25,São José dos Campos,,0.9273273,725419,15.3767571428571,95.8196142857143,0,0,1,88.7069142857143,76.8529857142857,17.4406714285714,20.1249428571429,46,,,,,235967
