SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax
202630,6.0,6,0.0,0.8271082,16.8700142857143,16.8700142857143,16.8700142857143,80.2401428571429,80.2401428571429,80.2401428571429
202629,124.0,124,3.9e-09,17.093569,14.8533857142857,14.8533857142857,14.8533857142857,81.2807428571429,81.2807428571429,81.2807428571429
202628,165.0,165,2.12e-08,22.745476,12.8766142857143,12.8766142857143,12.8766142857143,80.3373142857143,80.3373142857143,80.3373142857143
202627,230.0,230,0.0007143044,31.705814,14.7829285714286,14.7829285714286,14.7829285714286,84.1995571428571,84.1995571428571,84.1995571428571
202626,315.0,315,0.28468502,43.42318,16.2041,16.2041,16.2041,86.3729714285714,86.3729714285714,86.3729714285714
202625,294.0,294,0.0011848398,40.5283,15.0740142857143,15.0740142857143,15.0740142857143,89.3888285714286,89.3888285714286,89.3888285714286
202624,309.0,309,3.62535e-05,42.596073,14.5768857142857,14.5768857142857,14.5768857142857,89.1306428571429,89.1306428571429,89.1306428571429
202623,387.0,387,0.027756423,53.34848,13.7639142857143,15.3471571428571,16.8201714285714,73.2009857142857,79.8889714285714,85.0530285714286
202622,411.0,411,0.119743206,56.65691,13.0650571428571,15.6734571428571,19.8453428571429,60.0175285714286,84.4023714285714,98.1589285714286
202621,479.0,479,0.8362268,66.03081,14.5455571428571,17.5101285714286,21.5820285714286,68.2269571428571,86.4057142857143,96.9989714285714
202620,432.0,432,0.13080928,59.55179,15.3767571428571,17.4406714285714,20.1249428571429,76.8529857142857,88.7069142857143,95.8196142857143
202619,444.0,444,0.03905144,61.206005,12.8690142857143,17.2370571428571,22.3310142857143,56.2073428571429,79.2487714285714,95.3417714285714
202618,470.0,470,0.016361736,64.79014,19.3253857142857,19.3253857142857,19.3253857142857,79.5515571428571,79.5515571428571,79.5515571428571
202617,468.0,468,0.0021237305,64.51444,20.6053857142857,20.6053857142857,20.6053857142857,87.1010571428571,87.1010571428571,87.1010571428571
202616,586.0,586,0.6675811,80.7809,14.5288,19.3052857142857,25.0832142857143,49.8846285714286,77.6570714285714,96.5501428571429
202615,539.0,539,0.056305137,74.30189,14.0975857142857,19.4806,25.4129428571429,49.4437,76.1656142857143,95.0784714285714
202614,601.0,601,0.17790861,82.84867,17.5436571428571,20.6460142857143,24.3570285714286,68.2792714285714,84.1786142857143,94.7606714285714
202613,536.0,536,0.0009646491,73.88833,17.3457714285714,21.2456285714286,25.8233,62.6149714285714,81.8874571428571,94.8394
202612,678.0,678,0.962819,93.46323,16.8322,21.8170857142857,27.3913142857143,48.7273714285714,75.8665142857143,95.2195857142857
202611,691.0,691,0.99229383,95.255295,17.6473142857143,22.0980142857143,26.8001428571429,59.3986857142857,79.6355285714286,94.4085571428571
202610,571.0,571,0.050019924,78.71313,18.2749,20.5329142857143,23.2963857142857,76.0575285714286,88.851,97.1875142857143
202609,607.0,607,0.12656538,83.67578,16.7365,20.2997428571429,24.9418714285714,61.6419142857143,82.4948285714286,97.788
202608,594.0,594,0.3545701,81.88371,19.0306,21.3536714285714,24.7644142857143,71.0944714285714,86.4395,96.6494142857143
202607,737.0,737,1.0,101.59646,18.9390142857143,23.1827857142857,28.1297714285714,56.0059571428571,79.2587142857143,95.4672142857143
202606,600.0,600,0.99999976,82.71082,19.1145857142857,22.1320857142857,25.6101,65.9083714285714,82.9594571428571,94.1636714285714
202605,555.0,555,0.9999993,76.50751,19.3764,21.9307857142857,24.9832142857143,74.4833428571429,86.4203714285714,95.1862142857143
202604,392.0,392,0.13362803,54.037735,17.6431857142857,21.3168714285714,25.6867714285714,66.7945142857143,84.3777857142857,97.1505285714286
202603,369.0,369,0.010782228,50.867153,16.6033428571429,19.3668714285714,22.7061857142857,69.2053857142857,83.8471428571429,95.2301285714286
202602,442.0,442,0.86881644,60.930305,19.3458714285714,23.4297,27.4854571428571,52.883,72.3869857142857,89.2389285714286
202601,466.0,466,0.9968655,64.23874,18.0205571428571,22.2170857142857,26.7150285714286,54.875,74.5461285714286,91.2633
202553,418.0,418,0.7084586,57.621872,21.0247,24.9015428571429,29.5607714285714,55.3206857142857,76.6091571428571,93.3734714285714
202552,338.0,338,0.0002616028,46.59376,19.638,24.8058714285714,29.8824,46.2348571428571,68.1158714285714,87.1776428571429
202551,410.0,410,0.0902516,56.51906,17.9845571428571,20.7661428571429,24.6833714285714,69.4048428571429,83.9736571428571,94.3383
202550,440.0,440,0.36899474,60.654602,19.3453285714286,22.8015142857143,27.0234857142857,57.5907142857143,74.3146142857143,86.9682
202549,481.0,481,0.5095152,66.3065,17.5459,22.2798714285714,28.1276428571429,47.3270714285714,73.1956142857143,93.5659
202548,422.0,422,0.0001031535,58.173275,15.2867571428571,19.6462285714286,24.8507285714286,52.1786428571429,76.1618571428571,95.2852
202547,444.0,444,0.0001096606,61.206005,16.2589285714286,20.6344857142857,25.8783285714286,52.1869571428571,74.8866142857143,92.4428571428572
202546,580.0,580,0.7270458,79.95379,14.4697714285714,18.8848,24.1125857142857,55.2349285714286,77.0036571428571,93.8945857142857
202545,600.0,600,0.74043465,82.71082,17.1303571428571,20.496,25.1270285714286,65.6932142857143,82.5886285714286,94.1979285714286
202544,503.0,503,0.0024608609,69.33923,16.2540857142857,20.2291714285714,25.1443428571429,59.892,79.1082,93.1980857142857
202543,608.0,608,0.5857736,83.81363,11.3084714285714,16.0909857142857,21.9918285714286,44.0756285714286,70.3690571428571,91.8625571428571
202542,604.0,604,0.71496904,83.26222,16.8434714285714,21.2652,26.6448,53.5955571428571,76.3139,93.9983285714286
202541,596.0,596,0.92243636,82.15942,16.0472714285714,20.1103285714286,24.6874285714286,54.3947142857143,72.2922,88.4815571428571
202540,637.0,637,0.9998535,87.81132,15.3162714285714,21.2159285714286,28.3406285714286,36.7679571428571,66.2511,89.3284714285714
202539,501.0,501,0.7912722,69.06354,14.6527857142857,18.2591428571429,23.3304714285714,50.6002285714286,70.9017285714286,88.4834571428571
202538,559.0,559,0.9998704,77.058914,14.2477,19.6347857142857,26.6105428571429,39.5426285714286,70.8766714285714,94.0445428571429
202537,453.0,453,0.86294377,62.44667,14.4322857142857,19.2607285714286,25.6147,40.1327142857143,67.7498285714286,88.1890428571429
202536,447.0,447,0.96973544,61.61956,13.5262857142857,18.8131714285714,24.8374571428571,41.7335285714286,67.7057,88.5806857142857
202535,418.0,418,0.9889176,57.621872,14.9347142857143,18.5143,23.5683714285714,53.0539142857143,77.0279714285714,93.9816142857143
