SE,casos_est,casos,p_rt1,p_inc100k,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,tempmed_lag2,tempmed_lag4,umidmed_lag2,umidmed_lag4,casos_lag1,casos_lag2
202005,140.0,140,0.78064483,19.184994,18.7142857142857,24.2678568571429,31.7142857142857,37.238269,67.1477718571429,91.4479985714286,23.315476,22.215278,78.9110898571429,78.5820341666667,122.0,126.0
202006,194.0,194,0.99974406,26.58492,20.4285714285714,21.9380954285714,24.5714285714286,73.5955671428571,86.4307681428571,92.4182357142857,21.595238,24.645238,75.9803015714286,77.8205471428571,140.0,122.0
202007,239.0,239,0.9999942,32.751526,19.1428571428571,19.9428571428571,21.0,80.8121337142857,86.3483657142857,90.7263562857143,24.2678568571429,23.315476,67.1477718571429,78.9110898571429,194.0,140.0
202008,271.0,271,0.999908,37.136665,20.7142857142857,21.5948051428571,22.8571428571429,80.73869,89.3782935714286,94.0248714285714,21.9380954285714,21.595238,86.4307681428571,75.9803015714286,239.0,194.0
202009,320.0,320,0.99989146,43.851414,18.5714285714286,19.6969697142857,21.2857142857143,80.8948155714286,87.4736234285714,92.2768048571429,19.9428571428571,24.2678568571429,86.3483657142857,67.1477718571429,271.0,239.0
202010,427.0,427,1.0,58.514233,17.2857142857143,18.8495671428571,21.2857142857143,70.614285,84.5552737142857,93.0678505714286,21.5948051428571,21.9380954285714,89.3782935714286,86.4307681428571,320.0,271.0
202011,481.0,481,0.9999998,65.91416,18.5714285714286,20.6948048571429,23.5714285714286,64.2444895714286,78.9517928571429,89.0722205714286,19.6969697142857,19.9428571428571,87.4736234285714,86.3483657142857,427.0,320.0
202012,256.0,256,2.87e-08,35.08113,20.7142857142857,23.0946968571429,27.5714285714286,54.7409104285714,77.9361862857143,89.1981842857143,18.8495671428571,21.5948051428571,84.5552737142857,89.3782935714286,481.0,427.0
202013,173.0,173,0.0,23.70717,16.2857142857143,21.5576438571429,27.0,37.9972174285714,66.2649162857143,90.5024734285714,20.6948048571429,19.6969697142857,78.9517928571429,87.4736234285714,256.0,481.0
202014,180.0,180,6.07e-08,24.66642,18.4285714285714,23.360902,28.7142857142857,46.0270534285714,70.4280137142857,88.4806178571429,23.0946968571429,18.8495671428571,77.9361862857143,84.5552737142857,173.0,256.0
202015,152.0,152,0.0010037818,20.829422,17.2857142857143,21.1879701428571,25.7142857142857,47.222031,68.8606525714286,88.172668,21.5576438571429,20.6948048571429,66.2649162857143,78.9517928571429,180.0,173.0
202016,179.0,179,0.56068856,24.529385,16.7142857142857,20.9398492857143,25.1428571428571,52.1989022857143,69.2787602857143,88.0639371428571,23.360902,23.0946968571429,70.4280137142857,77.9361862857143,152.0,180.0
202017,173.0,173,0.6196668,23.70717,15.7142857142857,20.902256,27.1428571428571,38.3032458571429,68.1205567142857,90.5544714285714,21.1879701428571,21.5576438571429,68.8606525714286,66.2649162857143,179.0,152.0
202018,186.0,186,0.7927097,25.488634,14.4285714285714,21.320489,27.8571428571429,31.9326052857143,64.1542374285714,92.1182205714286,20.9398492857143,23.360902,69.2787602857143,70.4280137142857,173.0,179.0
202019,161.0,161,0.22128543,22.062742,13.8571428571429,18.757519,24.1428571428571,43.6851764285714,68.3149265714286,89.6106685714286,20.902256,21.1879701428571,68.1205567142857,68.8606525714286,186.0,173.0
202020,190.0,190,0.7739197,26.036777,13.1428571428571,18.8016188571429,24.7142857142857,42.8619967142857,69.1186658571429,92.0132954285714,21.320489,20.9398492857143,64.1542374285714,69.2787602857143,161.0,186.0
202021,173.0,173,0.46351895,23.70717,15.2857142857143,20.7508768571429,26.1428571428571,37.4121761428571,65.2233168571429,89.8125242857143,18.757519,20.902256,68.3149265714286,68.1205567142857,190.0,161.0
202022,114.0,114,0.0002056925,15.6220665,9.14285714285714,16.3993317142857,23.4285714285714,31.8338237142857,59.0383171428571,88.0142227142857,18.8016188571429,21.320489,69.1186658571429,64.1542374285714,173.0,190.0
202023,154.0,154,0.35823968,21.103493,14.1428571428571,19.1353382857143,24.4285714285714,49.2303324285714,72.2397594285714,94.7176155714286,20.7508768571429,18.757519,65.2233168571429,68.3149265714286,114.0,173.0
202024,160.0,160,0.81727296,21.925707,15.8571428571429,21.9556702857143,28.1428571428571,44.8605201428571,71.1102211428571,93.851442,16.3993317142857,18.8016188571429,59.0383171428571,69.1186658571429,154.0,114.0
202025,150.0,150,0.5911405,20.555351,14.2857142857143,19.3785857142857,24.2857142857143,48.2523554285714,69.575941,90.4392151428571,19.1353382857143,20.7508768571429,72.2397594285714,65.2233168571429,160.0,154.0
202026,131.0,131,0.11183165,17.951674,13.4285714285714,19.3371972857143,24.2857142857143,45.392652,66.7916347142857,90.3152185714286,21.9556702857143,16.3993317142857,71.1102211428571,59.0383171428571,150.0,160.0
202027,134.0,134,0.23031521,18.36278,12.5714285714286,17.0813044285714,21.7142857142857,48.0434128571429,71.0798792857143,90.6147198571429,19.3785857142857,19.1353382857143,69.575941,72.2397594285714,131.0,150.0
202028,143.0,143,0.61654174,19.596102,14.2857142857143,19.2042238571429,24.0,48.0154752857143,68.0562237142857,86.7873914285714,19.3371972857143,21.9556702857143,66.7916347142857,71.1102211428571,134.0,131.0
202029,101.0,101,0.015288514,13.840603,14.2857142857143,19.2777274285714,24.1428571428571,48.7853325714286,69.1885321428571,88.7644885714286,17.0813044285714,19.3785857142857,71.0798792857143,69.575941,143.0,134.0
202030,108.0,108,0.10136573,14.799852,12.1428571428571,19.9900791428571,26.0,31.3409062857143,58.6083085714286,89.6747972857143,19.2042238571429,19.3371972857143,68.0562237142857,66.7916347142857,101.0,143.0
202031,63.0,63,8.64334e-05,8.633247,15.2857142857143,19.7607961428571,24.2857142857143,42.5074802857143,65.9909328571429,87.3068114285714,19.2777274285714,17.0813044285714,69.1885321428571,71.0798792857143,108.0,101.0
202032,73.0,73,0.043899737,10.003604,11.7142857142857,17.5580127142857,23.8571428571429,34.5814717142857,65.7632221428571,89.3643202857143,19.9900791428571,19.2042238571429,58.6083085714286,68.0562237142857,63.0,108.0
202033,79.0,79,0.49045318,10.825818,14.2857142857143,21.9010517142857,27.8571428571429,28.211996,52.1989224285714,82.8106214285714,19.7607961428571,19.2777274285714,65.9909328571429,69.1885321428571,73.0,63.0
202034,54.0,54,0.04750225,7.399926,14.8571428571429,16.9302421428571,19.7142857142857,70.526222,82.66993,91.2847257142857,17.5580127142857,19.9900791428571,65.7632221428571,58.6083085714286,79.0,73.0
202035,66.0,66,0.3748807,9.044354,11.0,17.8455654285714,23.7142857142857,36.7322607142857,63.6178028571429,89.9478818571428,21.9010517142857,19.7607961428571,52.1989224285714,65.9909328571429,54.0,79.0
202036,61.0,61,0.3885226,8.359176,16.0,22.0268871428571,27.5714285714286,38.3530594285714,61.5746562857143,85.6117157142857,16.9302421428571,17.5580127142857,82.66993,65.7632221428571,66.0,54.0
202037,77.0,77,0.88408357,10.551746,18.8571428571429,24.7489554285714,31.2857142857143,28.1520858571429,57.9410098571429,84.3754094285714,17.8455654285714,21.9010517142857,63.6178028571429,52.1989224285714,61.0,66.0
202038,64.0,64,0.4415769,8.770283,18.0,24.2280705714286,29.8571428571429,32.3218188571429,54.246226,80.6413142857143,22.0268871428571,16.9302421428571,61.5746562857143,82.66993,77.0,61.0
202039,73.0,73,0.64081645,10.003604,16.8571428571429,19.9154014285714,23.4285714285714,56.28703,73.8093911428571,87.4521048571429,24.7489554285714,17.8455654285714,57.9410098571429,63.6178028571429,64.0,77.0
202040,76.0,76,0.7048562,10.414711,20.5714285714286,26.5490357142857,32.7142857142857,32.7099705714286,54.5006367142857,79.9635994285714,24.2280705714286,22.0268871428571,54.246226,61.5746562857143,73.0,64.0
202041,52.0,52,0.04858147,7.125855,20.0,24.3730158571429,29.4285714285714,50.6921694285714,70.073539,88.5155685714286,19.9154014285714,24.7489554285714,73.8093911428571,57.9410098571429,76.0,73.0
202042,57.0,57,0.17353046,7.8110332,16.0,20.799093,25.2857142857143,47.8176184285714,65.5690062857143,84.2100245714286,26.5490357142857,24.2280705714286,54.5006367142857,54.246226,52.0,76.0
202043,68.0,68,0.73681676,9.318426,18.0,22.2328738571429,27.4285714285714,43.8666792857143,66.0231578571428,84.3871031428571,24.3730158571429,19.9154014285714,70.073539,73.8093911428571,57.0,52.0
202044,52.0,52,0.25177526,7.125855,17.5714285714286,22.6993707142857,28.2857142857143,40.9744525714286,66.2031337142857,88.9595434285714,20.799093,26.5490357142857,65.5690062857143,54.5006367142857,68.0,57.0
202045,55.0,55,0.3322277,7.536962,14.7142857142857,18.2464497142857,22.2857142857143,47.4274094285714,66.8677618571429,84.910245,22.2328738571429,24.3730158571429,66.0231578571428,70.073539,52.0,68.0
202046,60.0,60,0.60728157,8.22214,18.7142857142857,22.732272,28.5714285714286,48.2449745714286,74.1171902857143,90.7346214285714,22.6993707142857,20.799093,66.2031337142857,65.5690062857143,55.0,52.0
202047,63.0,63,0.7286165,8.633247,18.1428571428571,21.6116025714286,25.0,58.0224171428571,73.4103751428571,89.9003542857143,18.2464497142857,22.2328738571429,66.8677618571429,66.0231578571428,60.0,55.0
202048,63.0,63,0.64160746,8.633247,19.0,23.5530348571429,28.8571428571429,40.1411582857143,63.3240498571429,82.9009931428571,22.732272,22.6993707142857,74.1171902857143,66.2031337142857,63.0,60.0
202049,88.0,88,0.9801897,12.059139,19.2,23.5530348571429,28.8571428571429,40.1411582857143,63.3240498571429,82.9009931428571,21.6116025714286,18.2464497142857,73.4103751428571,66.8677618571429,63.0,63.0
202050,83.0,83,0.8609985,11.3739605,19.4,23.5530348571429,28.8571428571429,40.1411582857143,63.3240498571429,82.9009931428571,23.5530348571429,22.732272,63.3240498571429,74.1171902857143,88.0,63.0
202051,74.0,74,0.3692806,10.140639,19.6,23.5530348571429,28.8571428571429,40.1411582857143,63.3240498571429,82.9009931428571,23.5530348571429,21.6116025714286,63.3240498571429,73.4103751428571,83.0,88.0
202052,63.0,63,0.08378794,8.633247,19.8,23.5530348571429,28.8571428571429,40.1411582857143,63.3240498571429,82.9009931428571,23.5530348571429,23.5530348571429,63.3240498571429,63.3240498571429,74.0,83.0
202053,62.0,62,0.16608985,8.496212,20.0,23.23839,27.5,56.2287165,76.781333,93.996635,23.5530348571429,23.5530348571429,63.3240498571429,63.3240498571429,63.0,74.0
202101,65.0,65,0.8593416,8.907319,20.2857142857143,24.6390977142857,30.1428571428571,47.0900212857143,70.859705,90.85053,23.5530348571429,23.5530348571429,63.3240498571429,63.3240498571429,62.0,63.0
202102,82.0,82,0.9988996,11.236925,21.2857142857143,24.4740282857143,30.5714285714286,50.7814811428571,78.392002,93.2514642857143,23.23839,23.5530348571429,76.781333,63.3240498571429,65.0,62.0
